Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
AAAIF,ALTERNATIVE INVSTMENT TR,Pink Current,0.000000,,0,Fund,,
AAALF,AAREAL BANK AG AKT,Pink Current,31.990000,,0,Foreign Ordinary Shares,Germany,
AAALY,AAREAL BANK AG UNSP/ADR,Pink Current,34.650000,,0,ADRs,Germany,
AABB,ASIA BROADBAND INC,Pink Current,0.023000,-6.122400,5882568,Common Stock,USA,Nevada
AABVF,ABERDEEN INTL INC,Pink Current,0.017000,-15.000000,2800,Foreign Ordinary Shares,Canada,Ontario
AACAF,AAC TECHS HLDGS INC ORD,Pink Current,2.210400,,0,Foreign Ordinary Shares,China,
AACAY,AAC TECHS HLDGS UNSP/ADR,Pink Current,1.930000,-5.853700,1485,ADRs,China,
AACTF,AURORA SOLAR TECHNOLOGIES,Pink Current,0.011100,0.000000,30423,Foreign Ordinary Shares,Canada,British Columbia
AAEEF,ALTAIR RES INC ORD,Pink Current,0.016200,,0,Foreign Ordinary Shares,,
AAFRF,AIRTEL AFRICA PLC,Pink Current,1.355000,-2.867400,3114,Foreign Ordinary Shares,United Kingdom,England
AAGC,ALL AMERICAN GOLD CORP,Pink Current,0.000400,14.285700,38999997,Common Stock,USA,New York
AAGFF,AFTERMATH SILVER LTD ORD,OTCQX International,0.137500,-12.028200,58832,Foreign Ordinary Shares,Canada,British Columbia
AAGH,AMERICA GREAT HEALTH,Pink Current,0.005600,-1.754400,180,Common Stock,USA,California
AAGIY,AIA GROUP LTD S/ADR,Pink Current,35.060000,-1.984900,418159,ADRs,Hong Kong,
AAGRY,ASTRA AGRO LESTR UNSP/ADR,Pink Limited,2.670000,,0,ADRs,Indonesia,
AAHIF,ASAHI CO LTD ORD,Pink Limited,12.679050,,0,Foreign Ordinary Shares,Japan,
AAIGF,AIA GROUP LTD ORD,Pink Current,8.700000,0.346000,67591,Foreign Ordinary Shares,Hong Kong,
AAIRF,AMERICAN AIRES INC,Pink Current,0.015000,0.000000,12000,Foreign Ordinary Shares,Canada,Ontario
AALBF,AALBERTS INDUS NV ORD,Pink Limited,38.590000,,0,Foreign Ordinary Shares,,
AAMMF,ALMADEX MINERALS LTD,Pink Current,0.190000,5.555600,4520,Foreign Ordinary Shares,Canada,British Columbia
AAMTF,ARMADA MERCANTILE LTD,Pink Current,0.300000,,0,Foreign Ordinary Shares,USA,California
AANNF,AROUNDTOWN SA ORD,Pink Limited,1.500000,-3.537000,5000,Foreign Ordinary Shares,,
AAPJ,AAP INC,Pink Current,0.000800,-5.882400,7728550,Common Stock,USA,Wyoming
AAPT,ALL AMERICAN PET CO INC,Pink Limited,0.000100,0.000000,537500,Common Stock,China,
AARTY,AIRTEL AFRICA PLC ADR,Pink Current,13.950000,,0,ADRs,United Kingdom,England
AASP,GLOBAL ACQUISITIONS CORP,Pink Current,0.236000,46.583900,1250,Common Stock,USA,Nevada
AASZF,ATLANTIC SAPPHIRE AS,OTCQX International,0.428650,-2.424300,3243,Foreign Ordinary Shares,USA,Florida
AATC,AUTOSCOPE TECHS CORP,OTCQX U.S.,6.025000,-0.577600,26789,Common Stock,USA,Minnesota
AATGF,ATI AIRTEST TECHS INC,Pink Current,0.010800,,0,Foreign Ordinary Shares,Canada,British Columbia
AATP,AGAPE ATP CORP,Pink Current,6.000000,,0,Common Stock,Malaysia,
AATV,ADAPTIVE AD SYSTEMS INC,Pink Current,0.270000,,0,Common Stock,USA,Washington
AAUGF,ANGOLD RES LTD,Pink Current,0.051100,,0,Foreign Ordinary Shares,Canada,British Columbia
AAUKF,ANGLO AMER PLC ORD.,OTCQX International Premier,26.047500,-0.201100,114,Foreign Ordinary Shares,United Kingdom,
AAVMY,ABN AMR BK N V UNSP/ADR,Pink Limited,14.220000,-1.215700,7821,ADRs,The Netherlands,
AAVVF,ADVANTAGE ENERGY LTD,Pink Current,6.602000,-2.768800,1785,Foreign Ordinary Shares,Canada,Alberta
AAWH,ASCEND WELLNESS HOLDNGS A,OTCQX U.S.,0.507000,-3.886300,80290,Foreign Ordinary Shares,USA,New York
AAYYY,AUSTRALIAN AGRCL UNSP/ADR,Pink Current,9.720000,,0,ADRs,Australia,Queensland
ABAKF,ABRDN ASIA-PAC INCOME FD,Pink Current,1.900000,,0,Foreign Ordinary Shares,United Kingdom,
ABANF,AUTOMATIC BANK SERVICES,Pink Limited,3.770000,,0,Foreign Ordinary Shares,,
ABAUF,A2B AUSTRALIA LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,New South Wales
ABBAF,ABRDN ASIAN INCOME FUND,Pink Current,2.200000,,0,Foreign Ordinary Shares,United Kingdom,England
ABBB,AUBURN BANCORP INC,Pink Current,9.150000,,0,Common Stock,USA,Maine
ABBNY,ABB LTD SPONS ADR,Pink Current,36.850000,-1.338700,184625,ADRs,Switzerland,
ABBRF,ABRASILVER RESOURCE CORP,OTCQX International,0.230000,-1.960800,123705,Foreign Ordinary Shares,Canada,Ontario
ABCAF,ATHABASCA MINERALS INC,Pink Current,0.083800,,0,Foreign Ordinary Shares,Canada,Alberta
ABCCF,ABC ARBITRAGE SA ORD,Pink Limited,8.380000,,0,Foreign Ordinary Shares,,
ABCFF,ABACUS MINING & EXPL ORD,Pink Current,0.044000,-2.222200,24721,Foreign Ordinary Shares,Canada,British Columbia
ABCP,AMBASE CORP,Pink Current,0.145000,3.571400,2500,Common Stock,USA,Florida
ABCZF,ABCAM PLC ORD,Pink Current,21.800000,,0,Foreign Ordinary Shares,United Kingdom,England
ABDDF,AB DYNAMICS PLC,Pink Current,33.000000,,0,Foreign Ordinary Shares,United Kingdom,
ABDXF,ABINGDON HEALTH LTD,Pink Current,0.070000,,0,Foreign Ordinary Shares,United Kingdom,
ABEPF,VISION LITHIUM INC,OTCQB,0.058500,-3.209800,13280,Foreign Ordinary Shares,Canada,Quebec
ABGSF,ABG SUNDAL COLLIER ASA,Pink Limited,0.493000,,0,Foreign Ordinary Shares,,
ABHBY,ALFEN BEHEER B V ADR,Pink Limited,28.000000,,0,ADRs,,
ABIT,ATHENA BITCOIN GLOBAL,Pink Current,0.069700,23.801100,11989,Common Stock,USA,Illinois
ABLT,AMERICAN BILTRITE INC,Pink Limited,140.000000,,0,Common Stock,USA,Massachusetts
ABLZF,ABB LTD ZUERICH,Pink Current,36.255000,-4.987200,8569,Foreign Ordinary Shares,Switzerland,
ABMBF,ABCOURT MINES INC B,Pink Current,0.028700,,0,Foreign Ordinary Shares,Canada,Quebec
ABMC,AMER BIO MEDICA CORP,Pink Limited,0.006900,-1.428600,178800,Common Stock,USA,New York
ABML,AMERICAN BATTERY TECH CO,OTCQX U.S.,0.560000,-3.365000,1086403,Common Stock,USA,Nevada
ABMRF,ABN AMRO GRP NV ORD,Pink Limited,14.781000,,0,Other Security Type,The Netherlands,
ABMT,ADVANCED BIOMEDICAL TECHS,Pink Limited,0.040000,14.285700,6000,Common Stock,USA,New York
ABNAF,ABEN MINERALS LTD,Pink Current,0.079000,,0,Foreign Ordinary Shares,Canada,British Columbia
ABOIF,ABOITIZ EQUITY VNTRS INC,Pink Limited,0.942600,,0,Foreign Ordinary Shares,Philippines,
ABQQ,AB INTL GROUP CORP NEW,Pink Current,0.000250,25.000000,40052290,Common Stock,USA,New York
ABRMF,ARBOR METALS CORP,Pink Current,2.420000,,138,Foreign Ordinary Shares,,
ABSSF,AIRBOSS OF AMERICA CORP,OTCQX International,3.530000,,500,Foreign Ordinary Shares,Canada,Ontario
ABTI,ALTEROLA BIOTECH INC,Pink Current,0.013000,,0,Common Stock,United Kingdom,England
ABTO,AB&T FINCL CORP (NC),Pink Current,0.460200,,0,Common Stock,USA,North Carolina
ABTZY,ABOITIZ EQTY VNT UNSP/ADR,Pink Limited,9.320000,,0,ADRs,Philippines,
ABXXF,ABAXX TECHNOLOGIES INC,OTCQX International,5.872000,1.241400,14781,Foreign Ordinary Shares,Canada,Ontario
ABZPF,ABOITIZ POWER CORP,Pink Limited,0.633600,,0,Foreign Ordinary Shares,Philippines,
ABZPY,ABOITIZ POWER UNSP/ADR,Pink Limited,13.570000,,0,ADRs,Philippines,
ACAN,AMERICANN INC,OTCQB,0.299900,19.960000,10458,Common Stock,USA,Colorado
ACASF,ACAST AB,Pink Limited,0.000000,,0,Foreign Ordinary Shares,Sweden,
ACAZF,ACADIAN TIMBER CORP ORD,Pink Current,12.900000,-0.084400,1507,Foreign Ordinary Shares,Canada,New Brunswick
ACBD,ANNABIDIOL CORP,Pink Limited,1.000000,,0,Common Stock,USA,Massachusetts
ACBM,ARCO BIOMEDICAL CO LTD,Pink Current,0.750000,,0,Common Stock,USA,Indiana
ACCFF,ACCORD FINCL CORP,Pink Current,4.850000,,0,Foreign Ordinary Shares,Canada,Ontario
ACCMF,AAC CLYDE SPACE,OTCQX International,0.052975,,0,Foreign Ordinary Shares,Sweden,
ACCR,ACCESS-POWER & CO INC,Pink Limited,0.001300,0.000000,6300,Common Stock,USA,Florida
ACCYY,ACCOR SA SPNS/ADR,Pink Current,6.950000,-2.592900,5874,ADRs,France,
ACDSF,ASCENDAS RL EST INVT TR,Pink Current,1.980000,-1.980200,4617,Fund,Singapore,
ACDVF,AIR CANADA INC VTG & VAR,OTCQX International Premier,16.480000,-1.553200,15357,Foreign Ordinary Shares,Canada,Quebec
ACDXF,AMERICAN COPPER DEV CORP,OTCQB,0.137700,-4.573800,12508,Foreign Ordinary Shares,Canada,British Columbia
ACEHF,ACE HARDWARE INDONESIA,Pink Limited,0.048000,,0,Foreign Ordinary Shares,,
ACEIY,ACER INC S/GDR 144A,Pink Limited,0.000000,,0,New York Registry Shs,Taiwan,
ACEJF,ACEA SPAR ITL,Pink Limited,11.500000,4.545500,2000,Foreign Ordinary Shares,Italy,
ACENY,ASCENTIAL PLC UNSP/ADR,Pink Current,7.320000,,0,ADRs,United Kingdom,England
ACEYY,ACER INC S/GDR REG S,Pink Limited,5.150000,,0,New York Registry Shs,Taiwan,
ACFN,ACORN ENERGY INC,OTCQB,0.380000,0.000000,1090,Common Stock,USA,Delaware
ACGBF,AGRICULTURAL BANK OF CHIN,Pink Current,0.334100,,0,Foreign Ordinary Shares,China,
ACGBY,AGRICULTURAL B/C UNSP/ADR,Pink Current,8.030000,-0.372200,35200,ADRs,China,
ACGX,ALLIANCE CREATIVE GRP,Pink Current,0.340000,-4.875100,7808,Common Stock,USA,Illinois
ACGYF,SUBSEA 7 SA ORD,Pink Limited,13.300000,,1,Foreign Ordinary Shares,United Kingdom,England
ACHFF,ARCH BIOPARTNERS INC ORD,OTCQB,1.230000,-0.404900,2500,Foreign Ordinary Shares,Canada,Ontario
ACHKF,ACHIKO AG NAMEN AKT,Pink Limited,0.003600,,0,Foreign Ordinary Shares,Switzerland,
ACHN,ACHISON INC A,Pink Current,1.010000,,0,Common Stock,USA,New York
ACIRF,AIMS APAC REIT,Pink Current,0.950000,,0,Fund,,
ACITF,ASIAN CITRUS HLDGS ORD,Pink Current,0.005000,,0,Foreign Ordinary Shares,,
ACJJF,ACOM CO LTD JPY,Pink Limited,2.286000,,0,Foreign Ordinary Shares,Japan,
ACKAF,ARCELIK A S,Pink Limited,2.209860,,0,Common Stock,Turkey,
ACKAY,ARCELIK A S UNSP/ADR,Pink Limited,29.230000,,1,ADRs,Turkey,
ACKDF,AUCKLAND INTL LTD ORD,Pink Current,4.764000,,0,Foreign Ordinary Shares,New Zealand,
ACKRF,AMERICAN CREEK RES NEW,OTCQB,0.101150,4.601900,1600,Foreign Ordinary Shares,Canada,Alberta
ACLHF,ACME LITHIUM INC,OTCQX International,0.132500,6.000000,74995,Foreign Ordinary Shares,Canada,British Columbia
ACLIF,ACCELLERON INDS AG,Pink Limited,23.200000,,0,Foreign Ordinary Shares,Switzerland,
ACLLF,ATCO LTD 1 NV CDA,Pink Current,27.690000,-0.252200,1954,Foreign Ordinary Shares,Canada,Alberta
ACLLY,ACCELLERON INDS U/ADR,Pink Limited,25.985000,-0.034600,5248,ADRs,Switzerland,
ACLTF,ATCO LTD,Pink Current,30.280000,,0,Foreign Ordinary Shares,Canada,Alberta
ACMB,AGRO CAPITAL MGMT CP,Pink Limited,0.006900,,0,Common Stock,USA,California
ACMLF,ASCOM HOLDING AG BERN,Pink Limited,7.480000,,0,Foreign Ordinary Shares,Switzerland,
ACMMY,ACOM CO LTD ADR,Pink Limited,0.000000,,0,ADRs,,
ACMT,ACMAT CORP,Pink Current,33.500000,,0,Common Stock,USA,Connecticut
ACMTA,ACMAT CORP A,Pink Current,33.500000,,0,Common Stock,USA,Connecticut
ACNDF,ASCENDAS INDIA TRUST UNIT,Pink Current,0.817000,,0,Fund,Singapore,
ACNFF,AMSTERDAM COMMODITIES NV,Pink Limited,21.735000,1.803300,150,Foreign Ordinary Shares,The Netherlands,
ACNNF,AUSCANN GROUP HLDGS LTD,Pink Current,0.001600,-57.894700,3000,Foreign Ordinary Shares,Australia,Western Australia
ACOGF,ALPHA COGNITION INC NEW,OTCQB,0.300000,,0,Foreign Ordinary Shares,Canada,British Columbia
ACOPF,A2 MILK CO LTD,Pink Current,2.940000,,50,Foreign Ordinary Shares,New Zealand,
ACOPY,THE A2 MILK CO UNSP/ADR,Pink Current,2.900000,,32,ADRs,New Zealand,
ACPIF,AC ENERGY CORP,Pink Limited,0.070000,,0,Foreign Ordinary Shares,,
ACPRF,AVANTE MINING CORP,Pink Current,0.117000,-15.827300,68500,Foreign Ordinary Shares,,
ACPS,AC PARTNERS INC,Pink Current,0.000000,,0,Common Stock,USA,Florida
ACRDF,ACREAGE HLDG CL D SUB VTG,OTCQX International,0.232500,4.494400,265,Foreign Ordinary Shares,USA,New York
ACRFF,ACCOR SA,Pink Current,36.250000,-0.684900,240,Foreign Ordinary Shares,France,
ACRG,AMERICAN CLEAN RESOURCES,OTCQB,6.490000,8.166700,100,Common Stock,USA,Colorado
ACRHF,ACREAGE HLDG CL E SUB VTG,OTCQX International,0.143100,-1.105700,64073,Foreign Ordinary Shares,USA,New York
ACRL,ATACAMA RESOURCES INTL,Pink Current,0.003450,-10.389600,375200,Common Stock,USA,Florida
ACRU,AMERICREW INC,Pink Current,0.889000,,0,Common Stock,USA,New Jersey
ACRXF,ACERINOX SA,Pink Limited,0.000000,,0,Foreign Ordinary Shares,Spain,
ACSAF,ACS ACTIVIDADES DE CONSTR,Pink Limited,34.782000,,0,Foreign Ordinary Shares,Spain,
ACSAY,ACS ACTIVIDADS CNS UN/ADR,Pink Limited,6.860000,-0.145600,8104,ADRs,Spain,
ACSYF,ACCSYS TECHNOLOGIES PLC,Pink Current,1.020000,,0,Foreign Ordinary Shares,United Kingdom,
ACTHF,ADURO CLEAN TECHNOLOGIES,OTCQB,0.662900,-1.101000,29091,Foreign Ordinary Shares,Canada,Ontario
ACUT,ACCUSTEM SCIENCES INC,OTCQB,0.900000,,5,Common Stock,USA,New York
ACWRF,ACCELEWARE LTD,Pink Current,0.165000,,0,Foreign Ordinary Shares,Canada,Alberta
ACXIF,ACCIONA SA,Pink Limited,133.650000,-5.634400,4,Foreign Ordinary Shares,Spain,
ADBCF,ADBRI LIMITED,Pink Current,1.640000,,0,Foreign Ordinary Shares,Australia,
ADBGF,ADORE BEAUTY GROUP LTD,Pink Current,0.650000,,0,Foreign Ordinary Shares,,
ADBMF,AUDIOBOOM GROUP PLC,Pink Current,22.696073,,0,Foreign Ordinary Shares,Jersey,
ADBRF,ALDEBARAN RESOURCES INC,OTCQX International,0.644950,-2.715100,2300,Foreign Ordinary Shares,Canada,British Columbia
ADCOF,ADCORE INC.,OTCQX International,0.149400,,0,Foreign Ordinary Shares,Israel,
ADCV,AD CAPITAL US INC,Pink Limited,0.124500,,0,Common Stock,USA,Texas
ADDDF,ADIDAS AG ORD,OTCQX International Premier,190.360000,-1.876300,665,Foreign Ordinary Shares,Germany,
ADDHY,ADDTECH AB UNSP/ADR,Pink Limited,9.500000,,0,ADRs,,
ADDLF,ADDLIFE AB SHS AK B NEW,Pink Limited,7.940000,,0,Foreign Ordinary Shares,Sweden,
ADDLY,ADDLIFE AB UNSP/ADR,Pink Limited,0.000000,,0,ADRs,Sweden,
ADDYY,ADIDAS AG S/ADR,OTCQX International Premier,95.300000,-1.661300,20138,ADRs,Germany,
ADERY,AIDA ENGINEERING LTD ADR,Pink Limited,61.520000,,0,ADRs,Japan,
ADEVF,ADEVINTA ASA,Pink Limited,7.360500,,0,Foreign Ordinary Shares,,
ADEVY,ADEVINTA ASA UNSP/ADR,Pink Limited,3.000000,,0,ADRs,,
ADFJF,ADF GROUP INC S/VTG,Pink Current,3.000000,,0,Foreign Ordinary Shares,Canada,Quebec
ADGCF,ADVANCE LITHIUM CORP,Pink Current,0.011000,,0,Foreign Ordinary Shares,,
ADHC,AMER DIVRSFD HLDGS CORP,Pink Current,0.001650,3.125000,254800,Common Stock,USA,California
ADHI,ARSENAL DIGITAL HLDGS INC,Pink Current,0.730000,92.105300,1536,Common Stock,USA,Texas
ADHLF,APPLIED DEV HLDGS LTD ORD,Pink Current,0.003200,,0,Foreign Ordinary Shares,China,
ADIA,ADIA NUTRITION INC,Pink Current,0.014000,,0,Common Stock,USA,California
ADIWW,ADIAL PHARMAC WTS 24,Pink Current,0.009800,,0,Warrants,USA,Virginia
ADLDY,ADBRI LIMITED  UNS/ADR,Pink Current,6.631700,,20,ADRs,Australia,
ADLRF,ALARIS EQ PTNRS UT 3C7,Pink Current,11.540000,,0,Units,Canada,Alberta
ADMG,ADAMANT DRI PRCNG &MNRLS,Pink Current,0.250000,,0,Common Stock,USA,Idaho
ADMLF,ADRIATIC METALS CHESS DEP,OTCQX International,2.380000,-2.057600,138,Other Security Type,United Kingdom,
ADMQ,ADM ENDEAVORS INC,OTCQB,0.038000,,0,Common Stock,USA,Texas
ADMT,ADM TRONICS UNLTD INC,OTCQB,0.126250,1.202400,1000,Common Stock,USA,New Jersey
ADMWF,ADMIRAL ACQ LTD WTS 29,Pink Current,0.000000,,0,Warrants,British Virgin Islands,
ADNGF,AIDA ENGINEERING LTD ORD,Pink Limited,0.000000,,0,Foreign Ordinary Shares,Japan,
ADOB,ADORBS INC,Pink Limited,0.000000,,0,Common Stock,Canada,Saskatchewan
ADOOY,PT ADARO ENERGY UNSP/ADR,Pink Limited,8.526000,-7.527100,363,ADRs,Indonesia,
ADPPF,ADLER GROUP S A,Pink Limited,0.731200,,0,Foreign Ordinary Shares,,
ADPXF,AUDIO PIXELS HLDGS ORD,Pink Current,7.100000,,0,Foreign Ordinary Shares,Australia,New South Wales
ADPXY,AUDIO PIXELS HLDGS S/ADR,Pink Current,6.910000,,0,ADRs,Australia,New South Wales
ADRLF,ADAVALE RESOURCES LTD,Pink Current,0.010000,,0,Foreign Ordinary Shares,,
ADRNY,KONINKLIJKE AD N.V. S/ADR,OTCQX International Premier,32.220000,-0.247700,37431,ADRs,The Netherlands,
ADRTW,AULT DISRUPTIVE TECH WTS,Pink Current,0.012000,-57.295400,2331,Warrants,USA,Nevada
ADRZF,ANDRITZ AG GRAZ AKT,Pink Current,50.020000,0.240500,200,Foreign Ordinary Shares,Austria,
ADRZY,ANDRITZ AG UNSP/ADR,Pink Current,9.842600,,0,ADRs,Austria,
ADSGF,ADESSO AG AFTER CAP REDTN,Pink Limited,129.510000,,0,Foreign Ordinary Shares,,
ADTLF,ADRIATIC METALS PLC ORD,Pink Current,2.550000,2.000000,330,Foreign Ordinary Shares,United Kingdom,
ADTTF,ADVANTEST CORP ORD,Pink Current,130.990000,0.761500,9100,Foreign Ordinary Shares,Japan,
ADVLF,ADVANCE LGISTCS INVT REIT,Pink Limited,0.000000,,0,Other Security Type,,
ADVNF,ADVANCE ZINCTEK LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,,
ADVOF,ADVA OPTICAL NETWORKING,Pink Current,20.930000,,0,Foreign Ordinary Shares,Germany,
ADVZF,ADVENTUS MNG CORP,OTCQX International,0.220000,,0,Foreign Ordinary Shares,Canada,Ontario
ADWPF,ANDREW PELLER LTD ORD A,Pink Current,3.150000,,0,Foreign Ordinary Shares,Canada,Ontario
ADWYF,ADWAYS CO LTD ORD,Pink Limited,0.000000,,0,Foreign Ordinary Shares,,
ADXDF,ADEX MINING CORP,Pink Current,0.003000,,0,Foreign Ordinary Shares,Canada,Ontario
ADXRF,ADX ENERGY LTD,Pink Current,0.004100,,0,Foreign Ordinary Shares,Australia,
ADXS,AYALA PHARMACEUTICALS INC,OTCQX U.S.,1.037500,1.715700,3040,Common Stock,USA,New Jersey
ADYEY,ADYEN NV UNSP/ADR,Pink Limited,8.200000,-4.982600,7727065,ADRs,The Netherlands,
ADYIF,ADYA INC,OTCQB,0.000000,,0,Foreign Ordinary Shares,Canada,Ontario
ADYRF,ADYTON RES CORP,OTCQB,0.004000,,0,Foreign Ordinary Shares,Canada,British Columbia
ADYYF,ADYEN NV ORD,Pink Limited,823.000000,-5.071700,851,Foreign Ordinary Shares,The Netherlands,
ADZCF,DEUTSCHE BK AGRI SHT ETN,Pink Current,45.000000,,0,Other Security Type,Germany,
ADZZF,ADVANCE RESIDENCE INV ORD,Pink Limited,2377.000000,,0,Foreign Ordinary Shares,,
AEBMF,ANADOLU EFES BIRACK ORD,Pink Current,6.119900,,0,Common Stock,Turkey,
AEBMY,ANADOLU EFES S/ADR 144A,Pink Current,0.000000,,0,ADRs,Turkey,
AEBZY,ANADOLU EFES BIRCLK S/ADR,Pink Current,0.892600,,0,ADRs,Turkey,
AECLY,AE & CI LIMITED ADR,Pink Current,7.900000,,0,ADRs,South Africa,
AECX,CURRENTC POWER CORP,Pink Current,0.133000,,0,Common Stock,USA,New York
AEDFF,AEDIFICA SICAFI BRUXELLE,Pink Limited,66.755000,,0,Foreign Ordinary Shares,,
AEGOF,AEGON N.V. ORD,Pink Current,5.130000,,0,Foreign Ordinary Shares,The Netherlands,
AEGXF,AECON GROUP INC,Pink Current,8.020000,,0,Foreign Ordinary Shares,Canada,Ontario
AELIY,ANADOLU HAYAT EM UNSP/ADR,Pink Limited,4.300000,,0,ADRs,,
AELTF,ADACEL TECHS LTD,Pink Current,0.421200,,0,Foreign Ordinary Shares,Australia,
AEMFF,AEM HOLDINGS LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,,
AEMMF,A2A SPA ORD,Pink Limited,1.220000,,0,Foreign Ordinary Shares,Italy,
AEMMY,A2A SPA UNSP/ADR,Pink Limited,8.230000,,0,ADRs,Italy,
AEOJF,AEON FINCL SVCS JPN ORD,Pink Limited,8.770000,,0,Foreign Ordinary Shares,,
AEORF,AEON REIT INVT CORP,Pink Limited,0.000000,,0,Foreign Ordinary Shares,Japan,
AEOXF,AEROPORTS DE PARIS ADP,Pink Limited,131.700000,,0,Foreign Ordinary Shares,France,
AEPLF,ANGLO ESTRN PLNTION ORD,Pink Current,8.500000,,0,Foreign Ordinary Shares,United Kingdom,
AEPT,AMERICAN ENGY PARTNERS,Pink Current,0.055000,,0,Common Stock,USA,Pennsylvania
AERG,APPLIED ENERGETICS INC,OTCQB,2.500000,1.626000,69226,Common Stock,USA,Arizona
AERGP,APPLIED ENERGETIC PFD A,Pink Current,0.000000,,0,Preferred Stock,USA,Arizona
AERS,AERIUS,Pink Current,0.001900,,0,Common Stock,USA,Nevada
AESO,ATLANTIC ENERGY SLTNS INC,Pink Current,0.024650,-14.705900,16900,Common Stock,USA,Wyoming
AETHF,AETHER GLOBAL INNOVATION,OTCQB,0.033000,-3.225800,3310,Foreign Ordinary Shares,Canada,British Columbia
AETLF,AERIS ENVIRONMENTAL LTD,Pink Current,0.021000,,0,Foreign Ordinary Shares,Australia,New South Wales
AETUF,ARC RESOURCES LTD ORD,Pink Current,14.390000,-1.167600,10728,Foreign Ordinary Shares,Canada,Alberta
AEXAF,ATOS ORIGIN SA ORD,Pink Limited,8.000000,,0,Foreign Ordinary Shares,France,
AEXAY,ATOS ORIGIN SA UNSP/ADR,Pink Limited,1.455000,-4.902000,1300,ADRs,France,
AEXFF,AMINEX PLC ORD,Pink Current,0.016000,,0,Foreign Ordinary Shares,United Kingdom,England
AFBOF,AFRICAN RAINBOW MNRLS LTD,Pink Current,11.430000,,0,Foreign Ordinary Shares,Mauritius,
AFDG,AFRICAN DISCOVERY GRP INC,Pink Current,0.004000,-2.439000,210000,Common Stock,USA,New York
AFFCF,AMERICAN FUTURE FUEL CORP,OTCQB,0.250000,8.695700,8000,Foreign Ordinary Shares,Canada,British Columbia
AFFL,AFFILIATED RES CORP,Pink Current,0.002000,,0,Common Stock,USA,North Carolina
AFFU,AFFLUENCE CORP,Pink Current,0.012900,12.173900,212101,Common Stock,USA,Colorado
AFGVF,AGFA GAVARET ORD,Pink Limited,2.570000,,0,Foreign Ordinary Shares,Belgium,
AFGVY,AGFA GEVAERT NV UNSP/ADR,Pink Limited,5.650000,,0,ADRs,Belgium,
AFGYF,AFC ENERGY PLC ORD,Pink Current,0.182200,-9.011500,5000,Foreign Ordinary Shares,United Kingdom,England
AFLYY,AIR FRANCE-KLM ADS,Pink Current,1.560000,0.000000,15890,ADRs,France,
AFMJF,ALPHAMIN RES CORP,Pink Current,0.680000,-0.657400,58650,Foreign Ordinary Shares,Mauritius,
AFNL,AMFIN FINANCIAL CORP,Pink Limited,190.000000,4.972400,26,Common Stock,USA,Ohio
AFOM,ALL FOR ONE MEDIA CORP,Pink Limited,0.000050,0.000000,1812,Common Stock,USA,New York
AFRAF,AIR FRANCE KLM ORD,Pink Current,1.555000,,0,Foreign Ordinary Shares,France,
AFTLF,AFRIMAT LIMITED,Pink Current,0.000000,,0,Foreign Ordinary Shares,,
AFTPF,AFT PHARMACEUTICALS LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,New Zealand,
AFXXF,AFRY AB SHARES B,Pink Limited,16.200000,,0,Foreign Ordinary Shares,Sweden,
AGAEW,ALLIED GMING ENT WTS 24,Pink Current,0.002600,-31.578900,58382,Warrants,USA,New York
AGATF,DEUTSCHE BK AGRI DBL SHRT,Pink Current,20.000000,,0,Structured Product,Germany,
AGBIF,ATLAS GLOBAL BRANDS INC,Pink Current,0.299200,,0,Foreign Ordinary Shares,Canada,Ontario
AGCCF,GENSOURCE POTASH CORP ORD,Pink Current,0.120000,,0,Foreign Ordinary Shares,Canada,Saskatchewan
AGDXF,ANTIOQUA GOLD INC,Pink Current,0.007500,,0,Foreign Ordinary Shares,Canada,Alberta
AGDY,AGRI-DYNAMICS INC,Pink Current,0.008200,,0,Common Stock,USA,New York
AGEEF,ALTAGAS LTD SERIES E PFD,Pink Current,15.500000,,0,Preferred Stock,Canada,Alberta
AGESF,AGEAS NV,Pink Current,42.150000,,0,Foreign Ordinary Shares,Belgium,
AGESY,AGEAS NV S/ADR NEW,Pink Current,39.540000,-1.934500,7977,ADRs,Belgium,
AGFAD,DIGICANN VENTURES INC,Pink Current,0.024850,-39.830500,6894,Foreign Ordinary Shares,Canada,British Columbia
AGFMF,AGF MGMT LTD B,Pink Current,5.630000,,1000,Foreign Ordinary Shares,Canada,Ontario
AGFXF,DEUTSCHE BK AGRI LONG ETN,Pink Current,11.010000,,0,Other Security Type,,
AGGI,ALLIED ENERGY INC,Pink Limited,0.005800,132.000000,11000,Common Stock,Hong Kong,
AGGNY,AEGEAN AIRLS SA UNSP/ADR,Pink Limited,0.000000,,0,ADRs,,
AGGZF,AG GROWTH INTL INC,Pink Current,45.780000,,0,Foreign Ordinary Shares,Canada,Manitoba
AGIN,AMERICAN GRAPHITE TECHS,Pink Limited,0.011300,68.656700,2000,Common Stock,USA,New York
AGLAF,T2 METALS CORP,OTCQB,0.134150,,0,Foreign Ordinary Shares,Canada,British Columbia
AGLDF,AUSTRAL GOLD LTD ORD,OTCQB,0.020200,,0,Foreign Ordinary Shares,Australia,New South Wales
