Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
CKISY,CK INFR HL LTD UNSP/ADR,Pink Current,23.720000,-1.454100,118,ADRs,Hong Kong,
CKNHF,CLARKSON HORACE PLC ORD,Pink Current,35.200000,,87,Foreign Ordinary Shares,,
CKNHY,CLARKSON PLC UNSP/ ADR,Pink Current,0.000000,,0,ADRs,United Kingdom,England
CKNQP,COBANK ACB NON CUM PFD,Pink Limited,97.500000,,0,Preferred Stock,USA,Colorado
CKOCF,CHUDENKO CORP ORD,Pink Limited,16.000000,,0,Foreign Ordinary Shares,Japan,
CKPDY,COOKPAD INC UNSP/ADR,Pink Limited,1.090000,,0,ADRs,Japan,
CKSNF,VESUVIUS PLC,Pink Current,3.700000,,0,Foreign Ordinary Shares,United Kingdom,
CKSNY,VESUVIUS PLC UNSP/ADR,Pink Current,5.470000,,0,ADRs,United Kingdom,
CLABF,CORE ONE LABS INC,OTCQB,0.318400,1.079400,10035,Foreign Ordinary Shares,Canada,British Columbia
CLBEY,CALBEE INC UNSP/ADR,Pink Limited,4.649000,,0,ADRs,Japan,
CLCFF,CHRISTINA LAKE CANNABIS,OTCQB,0.040000,24.610600,27000,Foreign Ordinary Shares,Canada,British Columbia
CLCGY,CLICKS GROUP LTD S/ADR,Pink Current,30.040000,2.176900,678,ADRs,South Africa,
CLCHY,CENTRAL CHINA SECS S/ADR,Pink Limited,0.000000,,0,ADRs,,
CLDHF,RETAIL CHINA TR,Pink Current,0.833000,,0,Foreign Ordinary Shares,,
CLEGF,COLES GROUP LTD,Pink Current,10.440000,19.232500,21103,Common Stock,Australia,
CLEGY,COLES GROUP LTD UNSP/ADR,Pink Current,0.000000,,0,ADRs,Australia,
CLEV,CONCRETE LEVELING SYS INC,Pink Current,1.660000,,0,Common Stock,USA,Ohio
CLGCF,CLARITY METALS CORP,Pink Current,0.069400,3.582100,25143,Foreign Ordinary Shares,Canada,British Columbia
CLGDF,ARIS MNG CORP WT 25,Pink Current,0.107700,,0,Warrants,Canada,British Columbia
CLGMF,CLEGHORN MINERALS ORD,Pink Current,0.150000,,0,Foreign Ordinary Shares,,
CLGOF,CLEANGO INNOVATIONS INC,Pink Current,0.337100,,0,Foreign Ordinary Shares,Canada,Alberta
CLGPF,CLEAN SEED CAP GROUP LTD,Pink Current,0.100000,,0,Foreign Ordinary Shares,Canada,British Columbia
CLHI,CLST HOLDINGS INC,Pink Current,0.015100,-39.112900,120,Common Stock,USA,Wyoming
CLHLF,COLTENE HOLDING AG ORD,Pink Limited,132.000000,,0,Foreign Ordinary Shares,,
CLIFF,CORDLIFE GROUP LTD ORD,Pink Current,0.376300,,0,Foreign Ordinary Shares,Singapore,
CLIHF,CLS HOLDINGS PLC ORD,Pink Current,1.800000,,0,Foreign Ordinary Shares,United Kingdom,
CLILF,CAPITALAND INVESTMENT LTD,Pink Current,2.290000,,0,Foreign Ordinary Shares,Singapore,
CLIUF,CITY OF LONDON INVST GRP,Pink Current,6.329900,,0,Foreign Ordinary Shares,United Kingdom,
CLKFF,CLARKE INC NEW,Pink Current,9.537300,,0,Foreign Ordinary Shares,Canada,Nova Scotia
CLKXF,TWC ENTERPRISES LTD ORD,Pink Current,13.190000,,0,Foreign Ordinary Shares,Canada,Ontario
CLLEF,CHALLENGER GOLD LIMITED,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,Western Australia
CLLFF,COLLINS FOODS LTD NWMKT,Pink Current,9.300000,,0,Foreign Ordinary Shares,Australia,Queensland
CLLKF,BICO GROUP AB B,Pink Limited,3.390000,,0,Foreign Ordinary Shares,Sweden,
CLLMF,COLLECTIVE METALS INC,Pink Current,0.000000,,0,Foreign Ordinary Shares,,
CLLNY,CELLNEX TELECOM UNSP/ADR,Pink Limited,18.450000,-1.652500,40867,ADRs,Spain,
CLLXF,CALLINEX MINES INC,OTCQX International,1.630000,0.122900,19308,Foreign Ordinary Shares,Canada,British Columbia
CLMEF,CALIMA ENERGY LTD NEW,Pink Current,0.065000,,0,Foreign Ordinary Shares,Australia,Western Australia
CLMHF,CALGRO M3 HOLDINGS LTD,Pink Current,0.180000,,0,Foreign Ordinary Shares,,
CLMPF,CANADIAN PREM SAND,Pink Current,0.320000,,0,Foreign Ordinary Shares,Canada,Alberta
CLNFF,CALIAN GROUP LTD ORD,Pink Current,39.365000,,78,Foreign Ordinary Shares,Canada,Ontario
CLNV,CLEAN VISION CORPORATION,OTCQB,0.022000,2.325600,603907,Common Stock,USA,California
CLNXF,CELLNEX TELECOM SA ORD,Pink Limited,37.455000,,83,Foreign Ordinary Shares,Spain,
CLOEF,CLOETTA AB B SHS,Pink Limited,1.700000,,0,Foreign Ordinary Shares,,
CLOQ,CYBERLOQ TECHNLOS INC,OTCQB,0.119500,,0,Common Stock,USA,Florida
CLOW,CLOUDWEB INC,Pink Current,0.051000,-8.520200,140,Common Stock,USA,California
CLPBF,COLOPLAST B ORD,Pink Current,115.410000,,0,Foreign Ordinary Shares,Denmark,
CLPBY,COLOPLAST AS SP/ADR,Pink Current,11.600000,-0.812300,42273,ADRs,Denmark,
CLPHF,CLP HLDGS LTD ORD,Pink Current,7.332000,,0,Foreign Ordinary Shares,Hong Kong,
CLPHY,CLP HOLDINGS LTD S/ADR,Pink Current,7.495000,-0.464800,76746,ADRs,Hong Kong,
CLPIF,COMPAGNIE DES ALPES SA,Pink Limited,14.870000,,0,Foreign Ordinary Shares,,
CLPMF,CLIP MONEY INC,OTCQB,0.198900,,0,Foreign Ordinary Shares,Canada,Ontario
CLPXF,CHINA LONGYUAN PWR GP ORD,Pink Current,0.985300,,1097,Foreign Ordinary Shares,China,
CLPXY,CHINA LONGYN PW UNSP/ADR,Pink Current,7.570000,-2.761700,180537,ADRs,China,
CLQDF,CLIQ DIGITIAL AG,Pink Limited,20.530000,,0,Foreign Ordinary Shares,,
CLRD,CLEARDAY INC,OTCQX U.S.,0.650000,1.562500,1045,Common Stock,USA,Texas
CLRI,CLEARTRONIC INC,Pink Current,0.028100,,0,Common Stock,USA,Florida
CLRMF,CLEAN AIR METALS INC,OTCQB,0.038200,-4.500000,11505,Foreign Ordinary Shares,Canada,Ontario
CLRPF,CLARITY PHARMACEUTICALS,Pink Current,0.680000,0.147300,6165,Foreign Ordinary Shares,,
CLRSF,CASTILE RES LTD,OTCQB,0.037100,,0,Foreign Ordinary Shares,Australia,Western Australia
CLSH,CLS HOLDINGS USA INC,OTCQB,0.065000,0.000000,1300,Foreign Ordinary Shares,USA,Nevada
CLSPF,CANADIAN LIFE COS SPLT,Pink Limited,2.550000,,0,Foreign Ordinary Shares,,
CLSZF,CHINA OIL & GAS GROUP LTD,Pink Current,0.038500,,0,Foreign Ordinary Shares,,
CLTFF,CELTIC PLC,Pink Current,1.700000,,0,Foreign Ordinary Shares,United Kingdom,
CLVCF,CLOVER CORP LTD,Pink Current,0.150000,,0,Foreign Ordinary Shares,,
CLVLF,CLINUVEL PHARMS ORD,Pink Current,12.175000,,0,Foreign Ordinary Shares,Australia,Victoria
CLVLY,CLINUVEL PHARMS LTD S/ADR,Pink Current,13.200000,-1.566000,1789,ADRs,Australia,Victoria
CLVSF,CELLAVISION AB ORD,Pink Limited,17.520000,,0,Foreign Ordinary Shares,Sweden,
CLWY,CALLOWAY'S NURSERY INC,Pink Limited,11.000000,0.000000,6960,Common Stock,USA,Texas
CLYYF,CELYAD SA,Pink Current,0.604900,,0,Foreign Ordinary Shares,,
CLZNF,CLARIANT AG NAM AKT,Pink Limited,15.592381,,0,Foreign Ordinary Shares,Switzerland,
CLZNY,CLARIANT AG UNSP/ADR,Pink Limited,15.720000,,6,ADRs,Switzerland,
CMAKY,CHINA MINSHNG BK UNSP/ADR,Pink Current,3.370000,,1,ADRs,China,
CMAUF,CHIBOUGAMAU IND ORD,Pink Current,0.105000,,0,Foreign Ordinary Shares,,
CMBNF,CEMBRA MONEY BK AG,Pink Limited,70.000000,,0,Foreign Ordinary Shares,,
CMCLF,CMOC GROUP LTD H SHS,Pink Current,0.623500,10.373500,4968,Foreign Ordinary Shares,China,
CMCLY,CMOC GROUP LTD UNSP/ADR,Pink Current,0.000000,,0,ADRs,China,
CMCXF,CMC METALS LTD ORD,OTCQB,0.069900,-8.026300,16640,Foreign Ordinary Shares,Canada,British Columbia
CMCZ,CURTIS MATHES CORP,Pink Current,0.012500,,0,Common Stock,USA,Texas
CMDKF,CHINA MODERN DAIRY HLD,Pink Limited,0.220000,,0,Foreign Ordinary Shares,,
CMDLF,CASSIUS MNG LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,New South Wales
CMDRF,COMMANDER RES LTD,Pink Current,0.085000,,0,Foreign Ordinary Shares,Canada,British Columbia
CMDXF,COMPUTER MODELLING GRP,Pink Current,5.850000,,770,Foreign Ordinary Shares,Canada,Alberta
CMEIF,CHINA MEIDONG AUTO HLDGS,Pink Current,1.180000,,0,Foreign Ordinary Shares,,
CMGEF,CMGE TECHNOLOGIES GROUP,Pink Current,0.000000,,0,Foreign Ordinary Shares,,
CMGGF,COMML INTL BK LTD S/GDR,OTCQX International Premier,1.130000,,0,New York Registry Shs,Egypt,
CMGHF,CHAODA MODERN AGRCLTRE HL,Pink Current,0.003400,,0,Foreign Ordinary Shares,Hong Kong,
CMGHY,CHAODA MODERN AGRC UN/ADR,Pink Current,0.130000,,0,ADRs,Hong Kong,
CMGJY,COMMERCIAL INTL BKGDR144A,Pink Current,0.000000,,0,New York Registry Shs,Egypt,
CMGMF,CHEMRING GRP PLC,Pink Current,3.640000,-4.210500,1200,Foreign Ordinary Shares,United Kingdom,
CMGMY,CHEMRING GRP PLC UNSP/ADR,Pink Current,3.490000,,21,ADRs,United Kingdom,
CMGO,CMG HOLDINGS GROUP INC,Pink Current,0.001300,,0,Common Stock,USA,Illinois
CMGR,CLUBHOUSE MEDIA GROUP INC,Pink Current,0.000200,-20.000000,12736480,Common Stock,USA,Nevada
CMHF,COMMUNITY HERITAGE FINCL,Pink Current,16.000000,,0,Common Stock,USA,Maryland
CMHHF,CHINA MERCHANTS HAI HONG,Pink Current,1.140000,,0,Foreign Ordinary Shares,China,Hong Kong
CMHHY,CHINA MERCH PRT HL UN/ADR,Pink Current,14.410000,,0,ADRs,China,Hong Kong
